Source name,Source site,start year,end year,sample frequency,temporal resolution,Region,County,Watershed,Waterbody,Latitude,Longitude,Spatial extent,spatial resolution,Type of measurment,open access,comments
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=248,2013,2023,event,,FEATHER R,BUTTE,,FOW,-121.6194,39.4025,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=249,2009,2018,event,,SACRAMENTO R,SACRAMENTO,,FPT,-121.5003,38.456112,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=250,2002,2022,daily,,FEATHER R,BUTTE,,FRA,-121.597,39.468,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=251,2018,2022,hourly,,FEATHER R,BUTTE,,FRA,-121.597,39.468,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=252,2015,2022,event,,DELTA,CONTRA COSTA,,FRK,-121.5981,38.046417,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=253,1999,2022,hourly,,DELTA,SAN JOAQUIN,,FRP,-121.639129,38.011698,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=254,2015,2022,event,,MERCED R,MARIPOSA,,FS1,-119.897264,37.655171,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=255,2015,2022,event,,MERCED R,MARIPOSA,,FS2,-119.900683,37.660086,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=256,2010,2022,hourly,,SAN JOAQUIN R,FRESNO,,FWQ,-119.7061,36.9993,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=257,2005,2018,event,,SAN JOAQUIN R,SAN JOAQUIN,,GCT,-121.44986,37.820145,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=258,2001,2011,hourly,,STANISLAUS R,TUOLUMNE,,GDC,-120.635,37.858,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=259,2009,2022,event,,SACRAMENTO R,SACRAMENTO,,GES,-121.5234,38.2389,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=260,2007,2022,event,,SAN JOAQUIN R,SAN JOAQUIN,,GLC,-121.5485,37.8196,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=261,2016,2022,hourly,,SAN JOAQUIN R,SAN JOAQUIN,,GLC,-121.5485,37.8196,,,logger,yes,
CDEC,https://cdec.water.ca.gov/dynamicapp/staMeta?station_id=262,2013,2022,event,,SAN JOAQUIN R,SAN JOAQUIN,,GLE,-121.434856,37.820258,,,logger,yes,
